config,mac_count,bitwidth,problem,result_dir,gflops_at_1ghz,utilization_pct,cycles,energy_uj,computes_total,fj_per_compute_total,fj_per_compute_mac,fj_per_compute_global_buffer,fj_per_compute_ifmap_buffer,fj_per_compute_weight_buffer,fj_per_compute_ofmap_buffer,fj_per_compute_onchip_buffers_total,fj_per_compute_dram,global_buffer_total_scalar_accesses,ifmap_buffer_total_scalar_accesses,weight_buffer_total_scalar_accesses,ofmap_buffer_total_scalar_accesses,onchip_buffers_total_scalar_accesses,dram_total_scalar_accesses,global_buffer_op_per_byte,ifmap_buffer_op_per_byte,weight_buffer_op_per_byte,ofmap_buffer_op_per_byte,dram_op_per_byte,mac_area_um2_total,global_buffer_area_um2,ifmap_buffer_area_um2,weight_buffer_area_um2,ofmap_buffer_area_um2,onchip_buffers_area_um2_total,area_mm2_summary,global_buffer_keep_outputs,global_buffer_bypass_outputs,global_buffer_keep_list,global_buffer_bypass_list,ofmap_buffer_keep_outputs,ofmap_buffer_bypass_outputs,ofmap_buffer_keep_list,ofmap_buffer_bypass_list,map_loop_nest,ifmap_buffer_bypass_list,ifmap_buffer_bypass_outputs,ifmap_buffer_keep_list,ifmap_buffer_keep_outputs,weight_buffer_bypass_list,weight_buffer_bypass_outputs,weight_buffer_keep_list,weight_buffer_keep_outputs
cnn_accel_1mac__conv2d_16x16,1,8,conv2d_16x16,timeloop/results/cnn_accel_1mac__conv2d_16x16,1.89,100.0,2304,0.19,2304,84132.44,3500.0,,8346.56,7348.52,13808.89,29503.97,51128.47,,2628,2313,4352,9293,589,,1.66,1.88,1.0,7.39,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac__conv2d_16x16_c3,1,8,conv2d_16x16_c3,timeloop/results/cnn_accel_1mac__conv2d_16x16_c3,1.96,100.0,6912,0.51,6912,73907.19,3500.0,,8460.63,7377.03,14349.63,30187.289999999997,40219.91,,7992,6966,13568,28526,1390,,1.7,1.95,1.0,9.76,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for C in [0:3) ; for Q in [0:16) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac__conv2d_16x16_c3k8,1,8,conv2d_16x16_c3k8,timeloop/results/cnn_accel_1mac__conv2d_16x16_c3k8,1.96,100.0,55296,3.86,55296,69858.37,3500.0,,7462.58,8232.5,14349.63,30044.71,36313.66,,56376,62208,108544,227128,10040,,1.93,1.74,1.0,10.81,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:2) ; for P in [0:8) ; for K in [0:2) ; for K in [0:4) ; for P in [0:2) ; for C in [0:3) ; for S in [0:3) ; for Q in [0:8) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac__conv2d_16x16_k4,1,8,conv2d_16x16_k4,timeloop/results/cnn_accel_1mac__conv2d_16x16_k4,1.89,100.0,9216,0.57,9216,62268.77,3500.0,,7576.64,7348.52,13808.89,28734.05,30034.72,,9540,9252,17408,36200,1384,,1.82,1.88,1.0,12.58,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for Q in [0:4) ; for P in [0:16) ; for Q in [0:4) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac__conv2d_32x32,1,8,conv2d_32x32,timeloop/results/cnn_accel_1mac__conv2d_32x32,1.89,100.0,9216,0.74,9216,80376.03,3500.0,,8235.67,7327.13,13808.89,29371.69,47504.34,,10372,9225,17408,37005,2189,,1.68,1.89,1.0,7.95,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for Q in [0:2) ; for P in [0:2) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac__conv2d_8x8,1,8,conv2d_8x8,timeloop/results/cnn_accel_1mac__conv2d_8x8,1.89,100.0,576,0.05,576,93399.76,3500.0,,8587.36,7434.06,13808.89,29830.31,60069.44,,676,585,1088,2349,173,,1.61,1.86,1.0,6.29,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:8) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
3mac_16x16,3,8,16x16,timeloop/results/3mac_16x16,5.67,100.0,768,0.16,2304,69529.8,3500.0,14901.33,,,,14901.33,51128.47,4701,,,,4701,589,0.93,,,,7.39,7200.0,7680.0,,,,7680.0,0.0,False,True,Weights|Inputs,Outputs,,,,,for Q in [0:8) ; for P in [0:16) ; for Q in [0:2) ; for R in [0:3) ; for S in [0:3) (Spatial-X),,,,,,,,
3mac_16x16_splitbuf,3,8,16x16,timeloop/results/3mac_16x16_splitbuf,5.67,100.0,768,0.16,2304,69543.13,3500.0,,14901.33,6.67,6.67,14914.67,51128.47,,4701,,,4701,589,,0.93,,,7.39,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,False,True,,Weights|Inputs|Outputs,for Q in [0:8) ; for P in [0:16) ; for Q in [0:2) ; for R in [0:3) ; for S in [0:3) (Spatial-X),Outputs,True,Weights|Inputs,False,Weights|Inputs|Outputs,True,,False
3mac_16x16_splitbuf_hard,3,8,16x16,timeloop/results/3mac_16x16_splitbuf_hard,5.67,100.0,768,0.16,2304,69897.99,3500.0,,3872.12,7335.18,4062.22,15269.52,51128.47,,1220,2313,1280,4813,589,,3.57,1.88,3.4,7.39,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for P in [0:4) ; for Q in [0:2) ; for R in [0:3) ; for P in [0:2) ; for Q in [0:8) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac__conv2d_16x16,3,8,conv2d_16x16,timeloop/results/cnn_accel_3mac__conv2d_16x16,5.67,100.0,768,0.16,2304,69897.99,3500.0,,3872.12,7335.18,4062.22,15269.52,51128.47,,1220,2313,1280,4813,589,,3.57,1.88,3.4,7.39,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for P in [0:4) ; for Q in [0:2) ; for R in [0:3) ; for P in [0:2) ; for Q in [0:8) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac__conv2d_16x16_c3,3,8,conv2d_16x16_c3,timeloop/results/cnn_accel_3mac__conv2d_16x16_c3,5.89,100.0,2304,0.6,6912,86250.54,3500.0,,4328.37,7335.18,5143.7,16807.25,65943.29,,4092,6939,4864,15895,2279,,3.32,1.96,2.79,5.95,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:8) ; for S in [0:3) ; for P in [0:4) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac__conv2d_16x16_c3k8,3,8,conv2d_16x16_c3k8,timeloop/results/cnn_accel_3mac__conv2d_16x16_c3k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
